"Bazan_Pazos-ne0077" "Bazan_Piedra-ne0082" "Bazan_Sirena-ne0085" "BlascoIbanez_Arroz-ne0163" "BlascoIbanez_Barraca-ne0164" "BlascoIbanez_Bodega-ne0019" "Clarin_Cuesta-ne0170" "Clarin_Hijo-ne0135" "Clarin_Regenta-ne0325" "Galdos_Bringas-ne0027" "Galdos_Misericordia-ne0002" "Galdos_Tristana-ne0005" "Miro_Amigo-ne0044" "Miro_Hilvan-ne0041" "Miro_Vivir-ne0042" "Pereda_Pedro-ne0144" "Pereda_Penas-ne0145" "Pereda_Sotileza-ne0146" "Picon_Dulce-ne0155" "Picon_JuanV-ne0162" "Picon_Lazaro-ne0161" "Valera_Genio-ne0151" "Valera_Juanita-ne0152" "Valera_Morsamor-ne0153"
"con" 1.18127635177908 0.981826582473433 0.932239109414127 1.64988568413648 1.46810888632101 1.61987795987257 0.882689478559364 1.14847317990508 1.0351340146485 1.24224472361105 1.30640196616479 1.2988991734278 0.665590964098427 1.1647202479727 1.01718391550881 1.21817074390233 1.31701120908017 1.32284182917094 1.09797196717993 0.982855688794173 1.09968999836841 1.18371122732164 1.24265765266541 1.02248753356348
"su" 0.932838049281559 0.937548128754043 0.810750502070265 1.40256771016532 1.66701396124193 1.54697346476116 0.50128044461396 1.28167815886093 0.999927613005969 1.24084422223156 0.9866615762724 1.03988115643926 0.887454618797902 1.36197125771001 1.13405185473748 0.730902446341397 0.77549898605736 1.03862382343395 0.870517904564562 1.09418238493591 1.38358622940121 1.14784119013008 1.10135210018841 1.04646144994246
"por" 0.987781135410819 1.02610503619282 0.810750502070265 1.02554519873373 1.18206444524427 0.971727037580769 1.10063749795674 1.07683352735739 0.922605142108831 0.941136927019873 1.04392851177551 0.883708528549118 0.756353368293667 1.19289896364946 0.774791152664156 1.13635330587904 1.47300238443654 1.22459362965692 1.03723815988472 1.00830179076943 1.0833741230217 1.0609979421926 1.1055081458495 1.14835059455313
"las" 1.00569735914862 0.870167873094101 0.870255126075422 1.5905293703834 1.46432021822728 1.2763280103065 0.969868686318313 0.968254678964807 0.948269621810859 1.01116199599457 0.98427545395977 0.938940311583438 1.20512303348124 0.914242775290397 0.947928840410336 1.01635439677821 1.04588369000839 0.990376939744028 0.794302930703917 1.14507458888641 1.54348180779899 0.80424399176877 0.799346115482655 0.821106635980054
"un" 1.00211411440106 0.997227783767134 1.16777824610121 1.1486545902216 1.08734774290098 1.08258181781866 0.991663488258051 0.983925852959613 1.01637920255855 1.05877904289736 0.927008518456656 0.889422161276807 1.05385235982251 1.13341056388741 1.3980868285504 0.901809983545604 0.824524784026504 0.769318490837478 0.966977480856942 1.11962848691116 0.926741719693262 0.638109082670996 0.601241272304112 0.481875719217491
"del" 0.906560921132783 1.04920683813337 0.788436268068331 0.860666549419627 0.901703006308132 0.89782385075551 0.855445976134692 0.908928091698755 0.978869578378663 0.712855202162374 0.683624042568422 0.67039957338209 0.731141589350545 1.0019098907292 0.965242609184954 0.888173743875056 0.823781968905759 0.799143837118521 0.641872982982625 0.896975094627692 1.01484744656551 0.609790632256603 0.613709409287377 0.855868814729574
"lo" 0.586457723684053 0.746958262744494 0.825626658071554 0.537504396763982 0.452745837200932 0.549280442620168 0.882689478559364 0.8417659174353 0.75315376971723 0.774477262860104 0.801737097043594 0.977031196434693 0.796692214602662 0.572967218760763 0.644937886854521 0.900900900900901 0.977544698899891 1.03072887883014 0.962214044990652 0.769744584751423 0.655898188937836 0.745719194245691 0.707913110938712 0.493862677406981
"al" 0.840868100760842 0.902895425843216 0.70661741006124 0.754045022863173 0.829718312527231 0.856877490487461 0.506729145098894 0.677218590489836 0.702811905686327 0.568603560074507 0.596530578157436 0.607549613377519 0.468939088342073 0.936159554150099 0.727178288533957 0.638176016581667 0.632878482874397 0.655280402115845 0.659735867481214 0.868348229905531 0.760319791156796 0.487077347127565 0.570763604122797 0.533419639432298
"le" 0.747703737324272 0.612197751424611 0.428929164703841 0.477048892015477 0.530413533122431 0.574247735466539 0.277883724731652 0.907808722127698 0.789676298523963 0.701651191126423 0.759979956572574 0.645640498228774 0.766438079870916 0.522871724224303 0.597325022724322 0.442723247970473 0.545226298626535 0.837741344070458 0.819310969001941 0.785648398485957 0.606950562897699 0.58147218184221 0.827053086556578 0.546605293440736
"una" 0.698732725774279 0.660326505467426 0.67934445739221 0.829889201547661 0.740684612324537 0.792961220800751 0.877240778074429 0.721993373332139 0.715644145537342 0.71845720768035 0.610847312033215 0.634213232773397 0.736183945139169 0.789004038949247 1.02151235770246 0.573631148807738 0.589052390750466 0.633350000438608 0.77286746930561 0.820636788701931 0.704845814977974 0.422888859521607 0.471018508256677 0.300872650556195
"como" 0.451488838192611 0.514015093177268 0.493392507376094 0.810103763629968 0.75773361874633 0.791962529086896 0.719228464011333 0.644756872929166 0.600153986878212 0.520986513171716 0.559545682311675 0.651354130956462 0.58995562726906 0.50408591377313 0.523741505432195 0.555449495913674 0.632878482874397 0.500890374308096 0.554940278422826 0.48347593752982 0.633055963452439 0.655100152919632 0.595699878089327 0.526227464518604
"para" 0.511209583985285 0.431233636223625 0.552897131381251 0.636431586352445 0.663016916403039 0.680109057135153 0.490383043644091 0.480209545983702 0.443863886128678 0.712855202162374 0.671693431005273 0.674208661867215 0.468939088342073 0.419549766742854 0.324633164524088 0.548176834756048 0.640306634081843 0.626332271901892 0.535886534957665 0.626610261140622 0.531897536302823 0.704185466971247 0.612324060733681 0.568181818181818
