	Source	Target	Weight	Type
3332	Grosz_B	Sidner_C	1	Undirected
3275	Aked_J	Moxey_L	1	Undirected
3274	Hairetakis_N	Markantonatou_S	1	Undirected
3273	Mannila_H	Papapetrou_P	1	Undirected
3411	Donnelly_C	Tweedie_F	1	Undirected
3375	Buch_K	Buch_K	1	Undirected
3102	Brofos_J	Tripuraneni_N	1	Undirected
3374	Cantos-Gómez_P	Cantos-Gómez_P	1	Undirected
3159	Goertzel_B	Poulin_C	1	Undirected
3158	Anand_S	Saha_S	1	Undirected
3157	Nowak_M	Orwant_J	1	Undirected
3156	Smith_J	Smith_J	1	Undirected
3155	Muñoz_R	Pelaez_M	1	Undirected
3154	Lindholm_M	Mantyjarvi_J	1	Undirected
3152	Dahmen_S	Prado_S	1	Undirected
3151	Hauch_V	Sporer_S	1	Undirected
3150	Nirkhi_S	Thakre_V	1	Undirected
3149	Huang_L	Meng_P	1	Undirected
3148	Hausser_R	Hausser_R	1	Undirected
3146	Juola_P	Plunkett_K	1	Undirected
3145	Bouchard_T	Segal_N	1	Undirected
3144	Casarez_A	Chaudhuri_P	1	Undirected
3143	Nowak_M	Veres_A	1	Undirected
3160	Batista_L	Macedo_L	1	Undirected
3162	Heuser_R	Jockers_M	1	Undirected
3163	Place_B	Smith_A	1	Undirected
3173	Lakhotia_A	Walenstein_A	1	Undirected
3099	Hirst_G	Morris_J	1	Undirected
3138	Glassman_S	Zweig_G	1	Undirected
3139	Sheard_J	Walsh_M	1	Undirected
3140	Light_M	Martin_N	1	Undirected
3141	Barber_J	Barber_J	1	Undirected
3174	Mellia_M	Munafo_M	1	Undirected
3172	Scholer_F	Scholer_F	1	Undirected
3164	Lee_J	Lee_J	1	Undirected
3171	Ruggles_T	Sedelow_W	1	Undirected
3170	Cormack_G	Lynam_T	1	Undirected
3169	Scheirer_W	Shen_B	1	Undirected
3167	Arlitt_M	Li_Z	1	Undirected
3166	Volokh_E	Volokh_E	1	Undirected
3165	Gipp_B	Meuschke_N	1	Undirected
3142	Caliskan_A	Stoler_A	1	Undirected
3255	Lin_X	Xu_S	1	Undirected
3257	Guthrie_L	Wilks_Y	1	Undirected
3343	Tarlinskaya_M	Vickers_B	1	Undirected
3349	Jelinek_F	Pietra_V	1	Undirected
3348	Ginsberg_M	Harvey_W	1	Undirected
3347	Markham_M	Sparkes_A	1	Undirected
3346	Nayak_A	Spracklin_L	1	Undirected
3345	Bloom_F	Bloom_F	1	Undirected
3344	Büttner_A	Proisl_T	1	Undirected
3342	Dimitroulia_T	Marmarinou-Politou_E	1	Undirected
3334	Peer_W	Peer_W	1	Undirected
3341	Krauthgamery_R	Mitzenmacher_M	1	Undirected
3339	Hansen_D	Raiha_K	1	Undirected
3338	Greenstadt_R	Overdorf_R	1	Undirected
3337	Charniak_E	McCann_P	1	Undirected
3336	Milward_D	Rupp_C	1	Undirected
3373	Hoiberg_D	Pickett_J	1	Undirected
3350	Campbell_G	Corns_T	1	Undirected
3351	Cervell_S	Padró_L	1	Undirected
3097	Ferguson_A	Worrall_L	1	Undirected
3366	Longuski_J	Tsiotras_P	1	Undirected
3352	Brin_S	Page_L	1	Undirected
3372	Kolter_J	Maloof_M	1	Undirected
3370	Czellar_J	Czellar_J	1	Undirected
3369	D'Souza_D	Hamilton_M	1	Undirected
3368	Dean_C	Dean_C	1	Undirected
3367	Knagenhjelm_P	Skoglund_M	1	Undirected
3365	Odgers_S	Richardson_J	1	Undirected
3353	Norvig_P	Orwant_J	1	Undirected
3363	Laboreiro_G	Silva_R	1	Undirected
3362	Evans_M	Evans_M	1	Undirected
3360	Chissom_B	Rogers_R	1	Undirected
