	Id	Weight	Label
1889	Tuzzi_A	1	Tuzzi_A
1897	Committee-on-Science_E	1	Committee-on-Science_E
2818	Meng_P	1	Meng_P
1877	Paclik_P	1	Paclik_P
1860	Hedegaard_S	1	Hedegaard_S
2885	Peters_T	1	Peters_T
1617	Tran_N	1	Tran_N
1616	Van-Mulken_M	1	Van-Mulken_M
2854	Egea_E	1	Egea_E
1702	Gannon_J	1	Gannon_J
1704	Owen_A	1	Owen_A
1705	Forestier_G	1	Forestier_G
1706	Koiller_J	1	Koiller_J
2860	Marmarinou-Politou_E	1	Marmarinou-Politou_E
1708	Messerman_A	1	Messerman_A
1709	Rogov_A	1	Rogov_A
1710	Sussman_G	1	Sussman_G
2861	Kohonen_O	1	Kohonen_O
1732	Zhao_J	1	Zhao_J
1734	Blumenthal_W	1	Blumenthal_W
1700	Johnson_P	1	Johnson_P
1756	Yardi_M	1	Yardi_M
1757	Hameed_A	1	Hameed_A
1758	Moore_R	1	Moore_R
1759	Numberg_G	1	Numberg_G
1760	King_R	1	King_R
2848	Meyer_D	1	Meyer_D
1762	Bergadano_F	1	Bergadano_F
1755	Soffa_M	1	Soffa_M
1763	Nishina_Y	1	Nishina_Y
1765	Jones_R	1	Jones_R
1731	Cohen_J	1	Cohen_J
1699	Read_J	1	Read_J
1767	Butakov_S	1	Butakov_S
1727	Gyongyi_Z	1	Gyongyi_Z
2856	Fergadiotis_G	1	Fergadiotis_G
1718	Craig_D	1	Craig_D
1719	Myers_I	1	Myers_I
1720	Briggum_S	1	Briggum_S
1721	Carrasco-Ochoa_J	1	Carrasco-Ochoa_J
1722	Blain_D	1	Blain_D
1723	Deacon_T	1	Deacon_T
1724	Sivia_D	1	Sivia_D
1725	Thomo_A	1	Thomo_A
1726	Pavlyshenko_B	1	Pavlyshenko_B
2855	Burgon_G	1	Burgon_G
1698	Egbert_J	1	Egbert_J
1729	Shapero_J	1	Shapero_J
1730	Frumkira_R	1	Frumkira_R
1715	Redwine_G	1	Redwine_G
